,Symbol,Security,GICS Sector,text
10,AFL,Aflac,Financials,"Aflac Inc.  (American Family Life Assurance Company) is an American insurance company and is the largest provider of supplemental insurance in the United States. The company was founded in 1955 and is based in Columbus, Georgia. In the U.S., Aflac underwrites a wide range of insurance policies, but is perhaps more known for its payroll deduction insurance coverage, which pays cash benefits when a policyholder has a covered accident or illness. The company states it ""provides financial protection to more than 50 million people worldwide""."
11,A,Agilent Technologies,Health Care,"Agilent Technologies, Inc. is a public research, development and manufacturing company established in 1999 as a spin-off from Hewlett-Packard. The resulting IPO of Agilent stock was the largest in the history of Silicon Valley at the time."
12,APD,Air Products & Chemicals,Materials,"Air Products and Chemicals, Inc. is an American international corporation whose principal business is selling gases and chemicals for industrial uses. Air Products' headquarters is in Allentown, Pennsylvania, in the Lehigh Valley region of Pennsylvania, in the United States. Air Products is the Lehigh Valley's third largest employer, after Lehigh Valley Hospital and St. Luke's Hospital. Leonard P. Pool founded the company in 1940. Its French subsidiary, headquartered in Saint-Quentin-Fallavier, was the site of a terrorist attack on June 26, 2015. Air Product's current CEO and Chairman is Sefi Ghasemi."
13,AKAM,Akamai Technologies,Information Technology,"Akamai Technologies, Inc. is an American content delivery network (CDN), cybersecurity, and cloud service provider headquartered in Cambridge, Massachusetts, in the United States. Akamai's content delivery network is one of the world's largest distributed computing platforms, responsible for serving between 15% and 30% of all web traffic. The company operates a network of servers around the world and rents out capacity on these servers to customers who want their websites to work faster by distributing content from locations close to the user. When a user navigates to the URL of an Akamai customer, their browser is redirected to one of Akamai's copies of the website."
14,ALK,Alaska Air Group,Industrials,"Alaska Air Group is an airline holding company based in SeaTac, Washington. It owns two certificated airlines operating in the United States: Alaska Airlines and Horizon Air. The Alaska Air Group also oversees an aircraft ground handling company, McGee Air Services, which is wholly owned by Alaska Airlines."
15,ALB,Albemarle Corporation,Materials,"Albemarle Corporation is a chemical company with corporate headquarters in Charlotte, North Carolina. It is a specialty chemical manufacturing enterprise. The company employs approximately 5,400 people and has customers in approximately 100 countries."
16,ARE,Alexandria Real Estate Equities,Real Estate,Alexandria Real Estate Equities is a major U.S. real estate investment trust.
17,ALXN,Alexion Pharmaceuticals,Health Care,"Alexion Pharmaceuticals Inc. is an American pharmaceutical company best known for its development of Soliris, a drug used to treat the rare disorders atypical hemolytic uremic syndrome (aHUS) and paroxysmal nocturnal hemoglobinuria (PNH). The company is also involved in immune system research related to autoimmune diseases. It employs around 2,400 people worldwide. In February 2016, the company held the dedication ceremony for its new headquarters in New Haven, Connecticut, not far from the company's starting point in the same city."
18,ALGN,Align Technology,Health Care,"Align Technology is a manufacturer of 3D digital scanners and clear aligners used in orthodontics. It is headquartered in San Jose, California; it manufactures the aligners in Juarez, Mexico and its scanners in Israel and China."
19,ALLE,Allegion,Industrials,"Allegion plc is a Dublin-based provider of security products for homes and businesses. It comprises thirty one global brands, including CISA, Interflex, LCN, Schlage and Von Duprin. The $US2 billion company sells products in more than 130 countries across the world. David D. Petratis has been announced Chairman of the Board, Chief Executive Officer and President of the company in August 2013. Allegion spun off from Ingersoll Rand Plc on 1 December 2013, and became a standalone, publicly traded company. This placed Allegion on the S&P 500, where it replaced JC Penney."
20,LNT,Alliant Energy,Utilities,"Alliant Energy Corporation is a public utility holding company that incorporated in Madison, Wisconsin in 1981. It consists of four subsidiaries: 
* Interstate Power and Light Company (IPL) is a public utility that generates and distributes electricity and distributes and transports natural gas in Iowa. 
* Wisconsin Power and Light Company (WPL) provides similar services as IPL in southern and central Wisconsin. 
* Resource is organized to manage non-regulated investments 
* Corporate Services provides administrative services to Alliant Energy and its subsidiaries."
21,ALL,Allstate Corp,Financials,"The Allstate Corporation is an American insurance company that is in the United States. The company also has personal lines insurance operations in Canada. Allstate was founded in 1931 as part of Sears, Roebuck and Co., and was spun off in 1993. The company has had its headquarters in Northfield Township, Illinois, near Northbrook since 1967."
22,GOOGL,Alphabet Inc. (Class A),Communication Services,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a corporate restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two founders of Google assumed executive roles in the new company, with Larry Page serving as CEO and Sergey Brin as president. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies."
23,GOOG,Alphabet Inc. (Class C),Communication Services,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a corporate restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two founders of Google assumed executive roles in the new company, with Larry Page serving as CEO and Sergey Brin as president. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies."
24,MO,Altria Group Inc,Consumer Staples,"Altria Group, Inc. (previously known as Philip Morris Companies, Inc.) is an American corporation and one of the world's largest producers and marketers of tobacco, cigarettes and related products. It operates worldwide and is headquartered in unincorporated Henrico County, Virginia, just outside the city of Richmond."
25,AMZN,Amazon.com Inc.,Consumer Discretionary,"Amazon.com, Inc. (), is an American multinational technology company based in Seattle that focuses on e-commerce, cloud computing, digital streaming, and artificial intelligence. It is considered one of the Big Four tech companies, along with Google, Apple, and Facebook. It's been referred to as ""one of the most influential economic and cultural forces in the world."""
26,AMCR,Amcor,Materials,"Amcor plc is a global packaging company. It develops and produces flexible packaging, rigid containers, specialty cartons, closures and services for food, beverage, pharmaceutical, medical-device, home and personal-care, and other products. Amcor is listed on the Australian Securities Exchange (ASX: AMC) and New York Stock Exchange (NYSE: AMCR). Its head office is in Warmley, Bristol, United Kingdom. As of 30 June, 2017, the company employed 35,211 people and generated more than US$9 billion in sales from operations in some 200 locations in over 40 countries."
27,AEE,Ameren Corp,Utilities,"Ameren Corporation is an American power company created December 31, 1997, by the merger of St. Louis, Missouri's Union Electric Company (formerly NYSE: UEP) and the neighboring Central Illinois Public Service Company (CIPSCO Inc. holding, formerly NYSE: CIP) of Springfield, Illinois. It is now a holding company for several power companies and energy companies. The company is based in St. Louis, serving 2.4 million electric, and 900,000 natural gas customers across 64,000 square miles in central and eastern Missouri and the southern four-fifths of Illinois."
28,AAL,American Airlines Group,Industrials,"American Airlines Group Inc. is an American publicly-traded airline holding company headquartered in Fort Worth, Texas. It was formed on December 9, 2013, in the merger of AMR Corporation, the parent company of American Airlines, and US Airways Group, the parent company of US Airways. The airline groups together form the largest airline in the world, with more than 6,700 daily flights to 350 locations in 56 countries worldwide, about $40 billion in operating revenue, over 100,000 employees, and plans to take delivery of 607 new aircraft, including 517 narrowbody aircraft and 90 widebody international aircraft. The integration of American Airlines and US Airways was completed when the Federal Aviation Administration granted a single operating certificate for both carriers on April 8, 2015. "
29,AEP,American Electric Power,Utilities,"American Electric Power (AEP) is a major investor-owned electric utility in the United States of America, delivering electricity to more than five million customers in 11 states. AEP ranks among the nation's largest generators of electricity, owning nearly 38,000 megawatts of generating capacity in the U.S. AEP also owns the nation's largest electricity transmission system, a nearly 39,000-mile (63,000 km) network that includes 765 kilovolt ultra-high voltage transmission lines, more than all other U.S. transmission systems combined. AEP's transmission system directly or indirectly serves about 10 percent of the electricity demand in the Eastern Interconnection, the interconnected transmission system that covers 38 eastern and central U.S. states and eastern Canada, and approximately 11 pe"
30,AXP,American Express,Financials,"The American Express Company, also known as Amex, is an American multinational financial services corporation headquartered in Three World Financial Center in New York City. The company was founded in 1850 and is one of the 30 components of the Dow Jones Industrial Average. The company is best known for its charge card, credit card, and traveler's cheque businesses. The company's logo, adopted in 1958, is a gladiator or centurion whose image appears on the company's traveler's cheques, charge cards and credit cards."
31,AIG,American International Group,Financials,"EMI Group Limited (originally an initialism for Electric and Musical Industries, also referred to as EMI Records Ltd. or simply EMI) was a British transnational conglomerate founded in March 1931 in London. At the time of its break-up in 2012, it was the fourth largest business group and record label conglomerate in the music industry, and was one of the ""Big Four"" record companies (now the ""Big Three""). Its labels included EMI Records, Parlophone, Virgin Records, and Capitol Records, which are now owned by other companies."
32,AMT,American Tower Corp.,Real Estate,"American Tower Corporation (also referred to as American Tower or ATC) is an American real estate investment trust and an owner and operator of wireless and broadcast communications infrastructure in several countries worldwide and is headquartered in Boston, Massachusetts. It is ranked 410th on the Fortune 500. As of December 31, 2018, the company owned 170,686 communications sites, including 40,757 sites in the U.S., 75,872 sites in Asia, 16,665 sites in Europe, Middle East and Africa, and 37,392 sites in Latin America."
33,AWK,American Water Works,Utilities,"American Water is an American public utility company operating in the United States and Canada. It was founded in 1886 as the American Water Works & Guarantee Company. In 1914, American Water Works and Guarantee Company became American Water Works and Electric Company. In 1947 it was reorganized as American Water Works Company, Inc. The company was a subsidiary of the German-based RWE Group from 2001 to 2008, but the company was divested on April 23, 2008 in an initial public offering (IPO) on the NYSE."
34,AMP,Ameriprise Financial,Financials,"Ameriprise Financial, Inc. is an American diversified financial services company. Ameriprise Financial engages in business through its subsidiaries, providing financial planning, products and services, including wealth management, asset management, insurance, annuities, and estate planning."
35,ABC,AmerisourceBergen,Health Care,"AmerisourceBergen Corporation is an American drug wholesale company that was formed by the merger of Bergen Brunswig and AmeriSource in 2001. They provide drug distribution and related services designed to reduce costs and improve patient outcomes, distribute a line of brand name and generic pharmaceuticals, over-the-counter (OTC) health care products and home health care supplies and equipment to a wide variety of health care providers located throughout the United States, including acute care hospitals and health systems, independent and chain retail pharmacies, mail-order facilities, physicians, clinics and other alternate site facilities, as well as skilled nursing and assisted living centers. They also provide pharmaceuticals and pharmacy services to long-term care, workers' compensat"
36,AME,Ametek,Industrials,"AMETEK, Inc. is an American global manufacturer of electronic instruments and electromechanical devices with a headquarters in the United States and over 220 manufacturing sites worldwide. The company was founded in 1930. The company's original name, American Machine and Metals, was changed to AMETEK in the early 1960s, reflecting AME's evolution from a provider of heavy machinery to a manufacturer of analytical instruments, precision components and specialty materials."
37,AMGN,Amgen Inc.,Health Care,"Amgen Inc. (formerly Applied Molecular Genetics Inc.) is an American multinational biopharmaceutical company headquartered in Thousand Oaks, California. One of the world's largest independent biotechnology companies, Amgen was established in Thousand Oaks, California in 1980. Amgen's Thousand Oaks staff in 2017 numbered 5,125 (7.5% of total city employment) and included hundreds of scientists, making Amgen the largest employer in Ventura County. Focused on molecular biology and biochemistry, its goal is to provide a healthcare business based on recombinant DNA technology."
38,APH,Amphenol Corp,Information Technology,"Amphenol Corporation is a major producer of electronic and fiber optic connectors, cable and interconnect systems such as coaxial cables. Amphenol is a portmanteau from the corporation's original name, American Phenolic Corp. The company sells its products into diverse electronics markets, including military-aerospace, industrial, automotive, information technology, mobile phones, wireless infrastructure, broadband, medical, and pro audio. Operations are located in more than 60 locations around the world."
39,ADI,"Analog Devices, Inc.",Information Technology,"Analog Devices, Inc. (ADI), also known simply as Analog, is an American multinational semiconductor company specializing in data conversion, signal processing and power management technology, headquartered in Norwood, Massachusetts. In 2012, Analog Devices led the worldwide data converter market with a 48.5% share, according to analyst firm Databeans. Analog Devices has approximately 100,000 customers in the following industries: communications, computer, instrumentation, military/aerospace, automotive, and consumer electronics applications."
40,ANSS,"ANSYS, Inc.",Information Technology,"Ansys, Inc. is a global public company based in Canonsburg, Pennsylvania. It develops and markets multiphysics engineering simulation software for product design, testing and operation. Ansys was founded in 1970 by John Swanson. Swanson sold his interest in the company to venture capitalists in 1993. Ansys went public on NASDAQ in 1996. In the 2000s, Ansys made numerous acquisitions of other engineering design companies, acquiring additional technology for fluid dynamics, electronics design, and other physics analysis. Ansys became a component of the NASDAQ-100 index on December 23, 2019."
41,ANTM,Anthem,Health Care,"Anthem Records is an independent record label based in Toronto, Ontario, Canada. The company was formed in May 1977 by Ray Danniels and Vic Wilson with initial recording artists Rush, Max Webster, Liverpool and A Foot in Coldwater. The three members of Rush, Geddy Lee, Neil Peart and Alex Lifeson became associate directors of Anthem."
42,AON,Aon plc,Financials,"Aon plc is a large global professional services firm that sells a range of financial risk-mitigation products, including insurance, pension administration, and health-insurance plans. Aon has approximately 50,000 employees in 120 countries. Aon was created in 1982 when the Ryan Insurance Group merged with the Combined Insurance Company of America. In 1987, that company was renamed Aon, a Gaelic word meaning ""one""."
43,AOS,A.O. Smith Corp,Industrials,"A. O. Smith Corporation is an American manufacturer of both residential and commercial water heaters and boilers and the largest manufacturer and marketer of water heaters in North America. It also supplies water treatment products in the Asian market. The company has 24 locations worldwide, including five manufacturing facilities in North America, as well as plants in Bengaluru in India, Nanjing in China and Veldhoven in The Netherlands."
44,APA,APA Corporation,Energy,Apache Corporation is a company engaged in hydrocarbon exploration. It is organized in Delaware and headquartered in Houston. The company is ranked 438th on the Fortune 500.
45,AAPL,Apple Inc.,Information Technology,"Apple Inc. is an American multinational technology company headquartered in Cupertino, California, that designs, develops, and sells consumer electronics, computer software, and online services. It is considered one of the Big Four technology companies, alongside Amazon, Google, and Facebook."
46,AMAT,Applied Materials Inc.,Information Technology,"Applied Materials, Inc. is an American corporation that supplies equipment, services and software for the manufacture of semiconductor (integrated circuit) chips for electronics, flat panel displays for computers, smartphones and televisions, and solar products. The company also supplies equipment to produce coatings for flexible electronics, packaging and other applications. The company is headquartered in Santa Clara, California, in Silicon Valley."
47,APTV,Aptiv PLC,Consumer Discretionary,"Aptiv PLC (stylised as •APTIV•, formerly known as Delphi Automotive PLC) is a Jersey-domiciled auto parts company headquartered in Dublin, Ireland."
48,ADM,Archer-Daniels-Midland Co,Consumer Staples,"The Archer Daniels Midland Company (ADM) is an American global food processing and commodities trading corporation, headquartered in Chicago, Illinois. The company operates more than 270 plants and 420 crop procurement facilities worldwide, where cereal grains and oilseeds are processed into products used in food, beverage, nutraceutical, industrial, and animal feed markets worldwide. The company also provides agricultural storage and transportation services. The American River Transportation Company along with ADM Trucking, Inc., are subsidiaries of ADM."
49,ANET,Arista Networks,Information Technology,"Arista Networks (formerly Arastra) is an American computer networking company headquartered in Santa Clara, California, USA. The company designs and sells multilayer network switches to deliver software-defined networking (SDN) solutions for large datacenter, cloud computing, high-performance computing, and high-frequency trading environments. These products include an array of 10/25/40/50/100 Gigabit Ethernet low-latency cut-through switches, including the 7124SX, which remained the fastest switch using SFP+ optics through September 2012, with its sub-500 nanosecond (ns) latency, and the 7500 series, Arista’s award-winning modular 10G/40G/100Gbit/s switch. Arista's own Linux-based network operating system, Extensible Operating System (EOS), runs on all Arista products."
50,AJG,Arthur J. Gallagher & Co.,Financials,"Arthur J. Gallagher & Co. (AJG) is a US-based global insurance brokerage and risk management services firm headquartered in Rolling Meadows, Illinois (a suburb of Chicago). The firm was established in 1927 and is one of the largest insurance brokers in the world."
51,AIZ,Assurant,Financials,"Assurant, Inc. is a global provider of risk management products and services with headquarters in New York City. Its businesses provide a diverse set of specialty, niche-market insurance products in the property, casualty, extended device protection, and preneed insurance sectors. The company’s three operating segments are Global Housing, Global Lifestyle, and Global Preneed. Assurant is 440 on the Fortune 500 list of the largest publicly traded companies in the United States."
52,T,AT&T Inc.,Communication Services,"AT&T Inc. is an American multinational conglomerate holding company headquartered at Whitacre Tower in Downtown Dallas, Texas. It is the world's largest telecommunications company, the largest provider of mobile telephone services, and the largest provider of fixed telephone services in the United States through AT&T Communications. Since June 14, 2018, it is also the parent company of mass media conglomerate WarnerMedia, making it the world's largest media and entertainment company in terms of revenue. As of 2018, AT&T is ranked #9 on the Fortune 500 rankings of the largest United States corporations by total revenue."
53,ATO,Atmos Energy,Utilities,"Atmos Energy Corporation, headquartered in Dallas, Texas, is one of the United States' largest natural-gas-only distributors, serving about three million natural gas distribution customers in over 1,400 communities in nine states from the Blue Ridge Mountains in the East to the Rocky Mountains in the West. Atmos Energy also manages company-owned natural gas pipeline and storage assets, including one of the largest intrastate natural gas pipeline systems in Texas."
54,ADSK,Autodesk Inc.,Information Technology,"Autodesk, Inc. is an American multinational software corporation that makes software services for the architecture, engineering, construction, manufacturing, media, education, and entertainment industries. Autodesk is headquartered in San Rafael, California, and features a gallery of its customers' work in its San Francisco building. The company has offices worldwide. Its U.S. locations are California, Oregon, Colorado, Texas, Michigan, New Hampshire and Massachusetts. Its Canada offices are located in Ontario, Quebec, and Alberta."
55,ADP,Automatic Data Processing,Information Technology,"Information technology (IT) is the use of computers to store, retrieve, transmit, and manipulate data or information. IT is typically used within the context of business operations as opposed to personal or entertainment technologies. IT is considered to be a subset of information and communications technology (ICT). An information technology system (IT system) is generally an information system, a communications system or, more specifically speaking, a computer system – including all hardware, software and peripheral equipment – operated by a limited group of users."
56,AZO,AutoZone Inc,Consumer Discretionary,"AutoZone, Inc. is an American retailer of aftermarket automotive parts and accessories, the largest in the United States. Founded in 1979, AutoZone has over 6,000 stores across the United States, Mexico, and Brazil. The company is based in Memphis, Tennessee."
57,AVB,AvalonBay Communities,Real Estate,"AvalonBay Communities, Inc. is a publicly traded real estate investment trust that invests in apartments. As of January 31, 2019, the company owned 78,365 apartment units, all of which were in New England, the New York City metropolitan area, the Washington, D.C. metropolitan area, Seattle, and California. It is the fourth largest owner of apartments in the United States."
58,AVY,Avery Dennison Corp,Materials,"Avery Dennison Corporation is an American company, it is a major manufacturer and distributor of pressure-sensitive adhesive materials (such as self-adhesive labels), apparel branding labels and tags, RFID inlays, and specialty medical products worldwide. The company is a member of the Fortune 500 and is headquartered in Glendale, California."
59,BKR,Baker Hughes Co,Energy,"Baker Hughes Company is an international industrial service company and one of the world's largest oil field services companies. The company provides the oil and gas industry with products and services for oil drilling, formation evaluation, completion, production and reservoir consulting. Baker Hughes is organized in Delaware and headquartered in Houston. The company was originally known as Baker Hughes Incorporated until 2017 when it was merged with GE Oil and Gas to become Baker Hughes, a GE Company (BHGE), then in 2019 the company divested from General Electric and became Baker Hughes Company. Despite the separation, General Electric still maintains a 38.4% share hold in the company."
60,BLL,Ball Corp,Materials,"The Dragon Ball manga series features an ensemble cast of characters created by Akira Toriyama. The series takes place in a fictional universe, the same world as Toriyama's previous series Dr. Slump, and follows the adventures of Son Goku during his boyhood years as he trains in martial arts and explores a fantastical version of Earth (地球 Chikyū) in search of the seven orbs known as the Dragon Balls that are used to summon a wish-granting dragon. The tone of the series becomes more action oriented and less comedic when Goku reaches adulthood, as he and his allies would find themselves defending Earth against various threats, overcoming seemingly insurmountable opponents and eventually emerging victorious against progressively more powerful foes."
61,BAC,Bank of America Corp,Financials,"The Bank of America Corporation (abbreviated as BofA) is an American multinational investment bank and financial services company headquartered in Charlotte, North Carolina, with central hubs in New York City, London, Hong Kong, Minneapolis, and Toronto. Founded in San Francisco, Bank of America was formed through NationsBank's acquisition of BankAmerica in 1998. It is the second largest banking institution in the United States, after JPMorgan Chase. As a part of the Big Four, it services approximately 10.73% of all American bank deposits, in direct competition with Citigroup, Wells Fargo, and JPMorgan Chase. Its primary financial services revolve around commercial banking, wealth management, and investment banking."
62,BK,The Bank of New York Mellon,Financials,"The Bank of New York Mellon Corporation, doing business as BNY Mellon, is an American worldwide banking and financial services holding company headquartered in New York City. It was formed on July 1, 2007, as a result of the merger of The Bank of New York and Mellon Financial Corporation. It is by far the world's largest custodian bank and asset servicing company, with $1.9 trillion in assets under management and $35.8 trillion in assets under custody as of the third quarter of 2019. BNY Mellon is incorporated in New York."
63,BAX,Baxter International Inc.,Health Care,"Baxter International Inc. is a Fortune 500 American health care company with headquarters in Deerfield, Illinois. The company primarily focuses on products to treat hemophilia, kidney disease, immune disorders and other chronic and acute medical conditions. The company had 2017 sales of $10.6 billion, across two businesses: BioScience and Medical Products. Baxter's BioScience business produces recombinant and blood plasma proteins to treat hemophilia and other bleeding disorders; plasma-based therapies to treat immune deficiencies and other chronic and acute blood-related conditions; products for regenerative medicine, and vaccines. Baxter's Medical Products business produces intravenous products and other products used in the delivery of fluids and drugs to patients; inhalational anaesthe"
64,BDX,Becton Dickinson,Health Care,"Becton, Dickinson and Company (BD) is an American medical technology company that manufactures and sells medical devices, instrument systems, and reagents. BD also provides consulting and analytics services in certain geographies. Founded in 1897 and headquartered in Franklin Lakes, New Jersey, BD employs nearly 70,000 people in more than 50 countries throughout the world. In the fiscal year ending September 30, 2019, more than 40% of BD sales were generated from non-U.S. markets."
65,BRK.B,Berkshire Hathaway,Financials,"Berkshire Hathaway is an American multinational conglomerate holding company headquartered in Omaha, Nebraska, United States. The company wholly owns GEICO, Duracell, Dairy Queen, BNSF, Lubrizol, Fruit of the Loom, Helzberg Diamonds, Long & Foster, FlightSafety International, Pampered Chef, Forest River and NetJets, and also owns 38.6% of Pilot Flying J; 26.7% of the Kraft Heinz Company, and significant minority holdings in American Express (17.6%), Wells Fargo (9.9%), The Coca-Cola Company (9.4%), Bank of America (6.8%), and Apple (5.22%). Since 2016, the company has acquired large holdings in the major US airline carriers, and is currently the largest shareholder in United Airlines and Delta Air Lines, and a top three shareholder in Southwest Airlines and American Airlines. Berkshire Hat"
66,BBY,Best Buy Co. Inc.,Consumer Discretionary,"Best Buy Co., Inc. is an American multinational consumer electronics retailer headquartered in Richfield, Minnesota. It was originally founded by Richard M. Schulze and James Wheeler in 1966 as an audio specialty store called Sound of Music. In 1983, it was re-branded under its current name with an emphasis placed on consumer electronics."
67,BIO,Bio-Rad Laboratories,Health Care,"Bio-Rad Laboratories, Inc. is a manufacturer of products for the life science research and clinical diagnostics markets. The company was founded in 1952 in Berkeley, California, by husband and wife team David and Alice Schwartz, both graduates of the University of California, Berkeley. Bio-Rad is based in Hercules, California, and has operations worldwide."
68,BIIB,Biogen Inc.,Health Care,"Biogen Inc. (previously known as Biogen Idec) is an American multinational biotechnology company based in Cambridge, Massachusetts, specializing in the discovery, development, and delivery of therapies for the treatment of neurological diseases to patients worldwide."
69,BLK,BlackRock,Financials,"Blackrock College (Irish: Coláiste na Carraige Duibhe) is a voluntary day and boarding Catholic secondary school for boys aged 13–18, in Williamstown, Blackrock, County Dublin, Ireland. It was founded by French missionary Pére Jules Leman CSSp in 1860 as a school and civil service training centre. The college, 7 kilometres (4.3 mi) from Dublin city centre, is just in from the sea, and is self-contained, with large boarding and teaching facilities in 56 acres of rolling parkland. It accommodates approximately 1,000 day and boarding students."
70,BA,Boeing Company,Industrials,"The Boeing Company, commonly known as Boeing (), is an American multinational corporation that designs, manufactures, and sells airplanes, rotorcraft, rockets, satellites, telecommunications equipment, and missiles worldwide. The company also provides leasing and product support services. Boeing is among the largest global aerospace manufacturers; it is the second-largest defense contractor in the world based on 2018 revenue, and is the largest exporter in the United States by dollar value. Boeing stock is included in the Dow Jones Industrial Average. Boeing is incorporated in Delaware."
71,BKNG,Booking Holdings Inc,Consumer Discretionary,"Booking Holdings Inc. is an American company organized in Delaware and based in Norwalk, Connecticut, that owns and operates several travel fare aggregators and travel fare metasearch engines including namesake and flagship Booking.com, Priceline.com, Agoda.com, Kayak.com,Cheapflights, Rentalcars.com, Momondo, and OpenTable. It operates websites in about 40 languages and 200 countries. In 2017, 89% of its gross profit was made outside the United States – most of which used Booking.com. In 2017, 93.4% of revenues were derived from commissions and 6.6% of revenues were derived from advertising."
72,BWA,BorgWarner,Consumer Discretionary,"BorgWarner Inc. is an American worldwide automotive industry components and parts supplier. It is primarily known for its powertrain products, which include manual and automatic transmissions and transmission components such as electro-hydraulic control components, transmission control units, friction materials, and one-way clutches, turbochargers, engine valve timing system components, along with four-wheel drive system components."
73,BXP,Boston Properties,Real Estate,"Boston Properties, Inc. is a publicly traded real estate investment trust that invests in office buildings in Boston, Los Angeles, New York City, San Francisco, and Washington, D.C. As of December 31, 2018, the company owned or had interests in 197 commercial real estate properties, aggregating approximately 51.6 million net rentable square feet."
74,BSX,Boston Scientific,Health Care,"Boston Scientific Corporation, doing business as Boston Scientific, is a manufacturer of medical devices used in interventional medical specialties, including interventional radiology, interventional cardiology, peripheral interventions, neuromodulation, neurovascular intervention, electrophysiology, cardiac surgery, vascular surgery, endoscopy, oncology, urology and gynecology."
